"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","417","n/e","n/e","n/e","158","0","n/e","n/e","n/e","n/e","256","666","339","50","n/e","n/e","26","n/e","0","n/e","25","2303"
"Portugal (PT)","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","423","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","26","732","195","51","n/e","n/e","28","n/e","0","n/e","25","2220"
"Portugal (PT)","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","420","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1104","174","44","n/e","n/e","28","n/e","0","n/e","25","2146"
"Portugal (PT)","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","418","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1254","145","46","n/e","n/e","27","n/e","0","n/e","25","2227"
"Portugal (PT)","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","414","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1484","142","45","n/e","n/e","26","n/e","0","n/e","25","2357"
"Portugal (PT)","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","418","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1623","186","48","n/e","n/e","27","n/e","0","n/e","25","2415"
"Portugal (PT)","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","416","n/e","n/e","n/e","155","0","n/e","n/e","n/e","n/e","0","1705","319","46","n/e","n/e","28","n/e","0","n/e","25","2441"
"Portugal (PT)","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","406","n/e","n/e","n/e","154","0","n/e","n/e","n/e","n/e","0","1544","346","41","n/e","n/e","27","n/e","2","n/e","25","2559"
"Portugal (PT)","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","403","n/e","n/e","n/e","156","0","n/e","n/e","n/e","n/e","0","1952","177","52","n/e","n/e","27","n/e","116","n/e","25","2707"
"Portugal (PT)","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","404","n/e","n/e","n/e","157","0","n/e","n/e","n/e","n/e","0","1749","185","67","n/e","n/e","27","n/e","410","n/e","25","2671"
